AREA GEOGRAFICA,MANZANAS
 CAPITAL A.G. 199,1
 CAPITAL A.G. 200,4
 CAPITAL A.G. 201,5
 CAPITAL A.G. 202,5
 CAPITAL A.G. 203,3
 CAPITAL A.G. 204,5
 CAPITAL A.G. 205,5
 CAPITAL A.G. 206,7
 CAPITAL A.G. 207,4
 CAPITAL A.G. 208,6
 CAPITAL A.G. 209,1
 CAPITAL A.G. 210,4
 CAPITAL A.G. 211,6
 CAPITAL A.G. 212,6
 CAPITAL A.G. 213,4
 CAPITAL A.G. 214,9
 CAPITAL A.G. 215,8
 CAPITAL A.G. 216,8
 CAPITAL A.G. 217,3
 CAPITAL A.G. 218,6
 CAPITAL A.G. 219,6
 CAPITAL A.G. 220,5
 CAPITAL A.G. 221,5
 CAPITAL A.G. 222,4
 CAPITAL A.G. 223,7
 CAPITAL A.G. 224,7
 CAPITAL A.G. 225,6
 CAPITAL A.G. 226,6
 CAPITAL A.G. 227,6
 CAPITAL A.G. 228,8
 CAPITAL A.G. 229,5
 CAPITAL A.G. 230,5
 CAPITAL A.G. 231,4
 CAPITAL A.G. 232,5
 CAPITAL A.G. 233,5
 CAPITAL A.G. 234,5
 CAPITAL A.G. 235,3
 CAPITAL A.G. 236,2
 CAPITAL A.G. 237,3
 CAPITAL A.G. 238,3
 CAPITAL A.G. 239,8
 CAPITAL A.G. 240,5
 CAPITAL A.G. 241,2
 CAPITAL A.G. 242,9
 CAPITAL A.G. 243,3
 CAPITAL A.G. 244,3
 CAPITAL A.G. 245,2
 CAPITAL A.G. 246,6
